
"Tinh","Dien tich(Km2)","Dan so trung binh (Nghin nguoi)","Mat do dân so (Nguoi/km2)"
"Ha Noi",3359.84,8435.65,2511.00
"Vinh Phuc",1236.00,1197.62,969.00
"Bac Ninh",822.71,1488.20,1809.00
"Quang Ninh",6207.93,1362.88,220.00
"Hai Duong",1668.28,1946.82,1167.00
"Hai Phong",1526.52,2088.02,1368.00
"Hung Yen",930.20,1290.80,1388.00
"Thai Binh",1584.61,1878.54,1185.00
"Ha Nam",861.93,878.05,1019.00
"Nam Ðinh",1668.83,1876.85,1125.00
"Ninh Binh",1411.78,1010.70,716.00
"Ha Giang",7927.55,892.72,113.00
"Cao Bang",6700.39,543.05,81.00
"Bac Kan",4859.96,324.35,67.00
"Tuyen Quang",5867.95,805.78,137.00
"Lao Cai",6364.25,770.59,121.00
"Yen Bai",6892.67,847.25,123.00
"Thai Nguyên",3521.97,1335.99,379.00
"Lang Son",8310.18,802.09,97.00
"Bac Giang",3895.89,1890.93,485.00
"Phu Tho",3534.56,1516.92,429.00
"Ðien Bien",9539.93,633.98,66.00
"Lai Chau",9068.73,482.10,53.00
"Son La",14109.83,1300.13,92.00
"Hoa Binh",4590.30,875.38,191.00
"Thanh Hoa",11114.71,3722.06,335.00
"Nghe An",16486.49,3416.90,207.00
"Ha Tinh",5994.45,1317.20,220.00
"Quang Binh",7998.76,913.86,114.00
"Quang Tri",4701.23,649.71,138.00
"Thua Thien Hue",4947.11,1160.22,235.00
"Da Nang",1284.73,1220.19,950.00
"Quang Nam",10574.86,1519.38,144.00
"Quang Ngai",5155.25,1245.65,242.00
"Binh Ðinh",6066.40,1504.29,248.00
"Phu Yen",5025.96,876.62,174.00
"Khanh Hoa",5199.62,1253.97,241.00
"Ninh Thuan",3355.70,598.68,178.00
"Binh Thuan",7942.60,1252.06,158.00
"Tay Nguyen",54548.31,6092.43,112.00
"Kon Tum",9677.30,579.91,60.00
"Gia Lai",15510.13,1590.98,103.00
"Dak Lak",13070.41,1918.44,147.00
"Dak Nong",6509.27,670.56,103.00
"Lam Ðong",9781.20,1332.53,136.00
"Binh Phuoc",6873.56,1034.67,151.00
"Tay Ninh",4041.65,1188.76,294.00
"Binh Duong",2694.64,2763.12,1025.00
"Ðong Nai",5863.62,3255.81,555.00
"Ba Ria - Vung Tau",1982.56,1178.70,595.00
"TP.Ho Chí Minh",2095.39,9389.72,4481.00
"Long An",4494.78,1734.26,386.00
"Tien Giang",2556.36,1785.24,698.00
"Ben Tre",2379.70,1298.01,545.00
"Tra Vinh",2390.77,1019.26,426.00
"Vinh Long",1525.73,1028.82,674.00
"Ðong Thap",3382.28,1600.17,473.00
"An Giang",3536.82,1905.52,539.00
"Kien Giang",6352.92,1751.76,276.00
"Can Tho",1440.40,1252.35,869.00
"Hau Giang",1622.23,729.47,450.00
"Soc Trang",3298.20,1197.82,363.00
"Bac Liêu",2667.88,921.81,346.00
"Ca Mau",5274.51,1207.63,229.00
 
